0,NULL,"Haiku"
1,NULL,"Hana"
2,NULL,"Honokohau"
3,NULL,"Kaanapali"
4,NULL,"Kahakuloa"
5,NULL,"Kahului"
6,NULL,"Kapalua"
7,NULL,"Kaupo"
8,NULL,"Keanae"
9,NULL,"Kihei"
10,NULL,"Kipahulu"
11,NULL,"Kula/Ulupalakua/Kanaio"
12,NULL,"Lahaina"
13,NULL,"Lanai"
14,NULL,"Maalaea"
15,NULL,"Makawao/Olinda/Haliimaile"
16,NULL,"Maui Meadows"
17,NULL,"Molokai"
18,NULL,"Nahiku"
19,NULL,"Napili/Kahana/Honokowai"
20,NULL,"Olowalu"
21,NULL,"Pukalani"
22,NULL,"Spreckelsville/Paia/Kuau"
23,NULL,"Wailea/Makena"
24,NULL,"Wailuku"
